"cohort_count","person_years","gender","age_group","calendar_year","incidence_rate","cohort_id","database_id"
0,68.91444216290212,,"0-9",1935,0,1,"SUBSET_AURUM"
0,79.45790554414785,,"0-9",1936,0,1,"SUBSET_AURUM"
0,86.20670773442848,,"0-9",1937,0,1,"SUBSET_AURUM"
0,90.59822039698835,,"0-9",1938,0,1,"SUBSET_AURUM"
0,99.37029431895962,,"0-9",1939,0,1,"SUBSET_AURUM"
0,108.58590006844628,,"0-9",1940,0,1,"SUBSET_AURUM"
0,112.53935660506502,,"0-9",1941,0,1,"SUBSET_AURUM"
0,120.41615331964408,,"0-9",1942,0,1,"SUBSET_AURUM"
0,125.23477070499658,,"0-9",1943,0,1,"SUBSET_AURUM"
0,136.3394934976044,,"0-9",1944,0,1,"SUBSET_AURUM"
0,144.51471594798085,,"0-9",1945,0,1,"SUBSET_AURUM"
0,154.63107460643397,,"0-9",1946,0,1,"SUBSET_AURUM"
0,160.67077344284735,,"0-9",1947,0,1,"SUBSET_AURUM"
0,378.5297741273101,,"0-9",1948,0,1,"SUBSET_AURUM"
0,619.6714579055441,,"0-9",1949,0,1,"SUBSET_AURUM"
0,666.6420260095824,,"0-9",1950,0,1,"SUBSET_AURUM"
0,717.6646132785763,,"0-9",1951,0,1,"SUBSET_AURUM"
0,753.5906913073238,,"0-9",1952,0,1,"SUBSET_AURUM"
0,787.98083504449,,"0-9",1953,0,1,"SUBSET_AURUM"
0,840.4900752908966,,"0-9",1954,0,1,"SUBSET_AURUM"
0,896.8213552361397,,"0-9",1955,0,1,"SUBSET_AURUM"
0,961.7056810403833,,"0-9",1956,0,1,"SUBSET_AURUM"
0,1020.2628336755647,,"0-9",1957,0,1,"SUBSET_AURUM"
0,1110.5653661875426,,"0-9",1958,0,1,"SUBSET_AURUM"
0,1258.6803559206023,,"0-9",1959,0,1,"SUBSET_AURUM"
0,1404.9199178644762,,"0-9",1960,0,1,"SUBSET_AURUM"
0,1570.7214236824093,,"0-9",1961,0,1,"SUBSET_AURUM"
0,1780.928131416838,,"0-9",1962,0,1,"SUBSET_AURUM"
0,1954.836413415469,,"0-9",1963,0,1,"SUBSET_AURUM"
0,2201.382614647502,,"0-9",1964,0,1,"SUBSET_AURUM"
0,2429.3196440793977,,"0-9",1965,0,1,"SUBSET_AURUM"
0,2630.6611909650924,,"0-9",1966,0,1,"SUBSET_AURUM"
0,2896.3887748117727,,"0-9",1967,0,1,"SUBSET_AURUM"
0,3149.9219712525664,,"0-9",1968,0,1,"SUBSET_AURUM"
0,3324.37234770705,,"0-9",1969,0,1,"SUBSET_AURUM"
0,3538.0588637919236,,"0-9",1970,0,1,"SUBSET_AURUM"
0,3714.0588637919236,,"0-9",1971,0,1,"SUBSET_AURUM"
0,3867.6714579055442,,"0-9",1972,0,1,"SUBSET_AURUM"
0,3934.206707734428,,"0-9",1973,0,1,"SUBSET_AURUM"
0,3966.3162217659137,,"0-9",1974,0,1,"SUBSET_AURUM"
0,3998.9103353867213,,"0-9",1975,0,1,"SUBSET_AURUM"
0,4032.4407939767284,,"0-9",1976,0,1,"SUBSET_AURUM"
0,3991.101984941821,,"0-9",1977,0,1,"SUBSET_AURUM"
0,3970.9322381930187,,"0-9",1978,0,1,"SUBSET_AURUM"
0,4012.9418206707737,,"0-9",1979,0,1,"SUBSET_AURUM"
0,4071.1047227926083,,"0-9",1980,0,1,"SUBSET_AURUM"
0,4109.264887063655,,"0-9",1981,0,1,"SUBSET_AURUM"
0,4200.465434633812,,"0-9",1982,0,1,"SUBSET_AURUM"
0,4457.253935660507,,"0-9",1983,0,1,"SUBSET_AURUM"
0,4734.110882956878,,"0-9",1984,0,1,"SUBSET_AURUM"
0,5161.74674880219,,"0-9",1985,0,1,"SUBSET_AURUM"
0,5756.939082819987,,"0-9",1986,0,1,"SUBSET_AURUM"
0,6525.245722108145,,"0-9",1987,0,1,"SUBSET_AURUM"
0,7436.933607118412,,"0-9",1988,0,1,"SUBSET_AURUM"
0,8240.736481861739,,"0-9",1989,0,1,"SUBSET_AURUM"
0,9151.192334017796,,"0-9",1990,0,1,"SUBSET_AURUM"
0,10359.783709787816,,"0-9",1991,0,1,"SUBSET_AURUM"
0,11581.366187542779,,"0-9",1992,0,1,"SUBSET_AURUM"
0,12854.217659137577,,"0-9",1993,0,1,"SUBSET_AURUM"
0,14333.448323066394,,"0-9",1994,0,1,"SUBSET_AURUM"
0,15802.264202600958,,"0-9",1995,0,1,"SUBSET_AURUM"
0,17540.09308692676,,"0-9",1996,0,1,"SUBSET_AURUM"
0,19263.27173169062,,"0-9",1997,0,1,"SUBSET_AURUM"
0,21176.60232717317,,"0-9",1998,0,1,"SUBSET_AURUM"
0,23122.250513347022,,"0-9",1999,0,1,"SUBSET_AURUM"
0,25132.476386036964,,"0-9",2000,0,1,"SUBSET_AURUM"
0,27217.973990417522,,"0-9",2001,0,1,"SUBSET_AURUM"
0,29502.921286789868,,"0-9",2002,0,1,"SUBSET_AURUM"
0,30646.877481177275,,"0-9",2003,0,1,"SUBSET_AURUM"
0,29739.101984941823,,"0-9",2004,0,1,"SUBSET_AURUM"
0,27907.383983572894,,"0-9",2005,0,1,"SUBSET_AURUM"
0,25592.01916495551,,"0-9",2006,0,1,"SUBSET_AURUM"
0,22852.61327857632,,"0-9",2007,0,1,"SUBSET_AURUM"
0,19515.10472279261,,"0-9",2008,0,1,"SUBSET_AURUM"
0,15685.431895961668,,"0-9",2009,0,1,"SUBSET_AURUM"
0,11468.889801505818,,"0-9",2010,0,1,"SUBSET_AURUM"
0,6597.051334702259,,"0-9",2011,0,1,"SUBSET_AURUM"
0,1594.2915811088296,,"0-9",2012,0,1,"SUBSET_AURUM"
0,-5,,"10-19",1927,0,1,"SUBSET_AURUM"
0,-5,,"10-19",1928,0,1,"SUBSET_AURUM"
0,-5,,"10-19",1929,0,1,"SUBSET_AURUM"
0,-5,,"10-19",1930,0,1,"SUBSET_AURUM"
0,-5,,"10-19",1931,0,1,"SUBSET_AURUM"
0,-5,,"10-19",1932,0,1,"SUBSET_AURUM"
0,-5,,"10-19",1933,0,1,"SUBSET_AURUM"
0,-5,,"10-19",1934,0,1,"SUBSET_AURUM"
0,8.993839835728952,,"10-19",1935,0,1,"SUBSET_AURUM"
0,10.020533880903491,,"10-19",1936,0,1,"SUBSET_AURUM"
0,12.991101984941821,,"10-19",1937,0,1,"SUBSET_AURUM"
0,24.20533880903491,,"10-19",1938,0,1,"SUBSET_AURUM"
0,33.738535249828885,,"10-19",1939,0,1,"SUBSET_AURUM"
0,45.09240246406571,,"10-19",1940,0,1,"SUBSET_AURUM"
0,59.44421629021218,,"10-19",1941,0,1,"SUBSET_AURUM"
0,71.6331279945243,,"10-19",1942,0,1,"SUBSET_AURUM"
0,90.40109514031485,,"10-19",1943,0,1,"SUBSET_AURUM"
0,103.17590691307325,,"10-19",1944,0,1,"SUBSET_AURUM"
0,119.40588637919232,,"10-19",1945,0,1,"SUBSET_AURUM"
0,136.53935660506502,,"10-19",1946,0,1,"SUBSET_AURUM"
0,143.66050650239563,,"10-19",1947,0,1,"SUBSET_AURUM"
0,239.2772073921971,,"10-19",1948,0,1,"SUBSET_AURUM"
0,380.599589322382,,"10-19",1949,0,1,"SUBSET_AURUM"
