"ancestor_concept_id","descendant_concept_id","min_levels_of_separation","max_levels_of_separation"
4126305,44809062,2,2
4126305,37395518,4,4
4126305,37395520,5,5
4126305,37395517,4,4
4126305,44809063,2,2
4126305,36716183,2,2
4126305,37395519,5,5
4126305,37395514,4,4
4126305,37395516,4,4
4126305,36716312,2,2
4131124,4211348,3,3
4132088,36716182,2,2
4132552,4340961,2,2
4132552,4340494,2,2
4132552,4185268,2,2
4132552,4340493,3,3
4132552,763030,2,2
4132552,4026158,3,3
4132552,36715932,1,1
4132552,44806251,2,2
4132552,4341763,2,2
4132552,4082334,2,2
4132552,46274136,2,2
4132552,199074,1,1
4132552,4341764,2,2
4132552,4341765,3,3
4132552,4303234,2,2
4132552,4340960,2,2
4132552,4026157,2,2
4132999,4262809,3,4
4134294,4340493,3,3
4134294,4340961,2,2
4134294,4340494,2,2
4134294,4185268,2,2
4134294,763030,2,2
4134294,4026158,3,3
4134294,44806251,2,2
4134294,4341763,2,2
4134294,4082334,2,2
4134294,46274136,2,2
4134294,4341764,2,2
4134294,4341765,3,3
4134294,199074,1,1
4134294,4026157,2,2
4134294,4340960,2,2
4134294,4303234,2,2
4134593,4192249,2,2
4134593,36715932,1,1
4134593,4124691,1,1
4134593,4102255,2,2
4134593,35624505,2,2
4134593,195596,1,1
4134593,4121819,2,2
4134593,4340496,2,2
4134593,45757494,2,2
4134593,4342866,2,2
4134593,4026157,2,2
4134593,37110323,3,3
4134593,4340963,2,2
4134593,4340964,3,3
4134593,4341073,2,2
4134593,3654680,2,2
4134593,36716714,2,2
4135931,4211348,1,1
4144291,44791268,1,1
4144291,44790985,1,1
4145627,763030,3,3
4145717,763030,1,1
4147231,4147231,0,0
4155499,761083,3,3
4169252,761083,2,2
4171379,44809061,5,7
4171379,37395521,8,10
4171379,761083,3,5
4171379,36716182,5,7
4171379,37395520,8,10
4171379,37395517,7,9
4171379,44809062,5,7
4171379,37395518,7,9
4171379,3661748,5,7
4171379,44809063,5,7
4171379,37395519,8,10
4171379,37395514,7,9
4171379,36716183,5,7
4171379,36716312,5,7
4171379,37395516,7,9
4178818,4185268,4,4
4178818,4340962,4,4
4178818,4241838,3,3
4178818,4192640,2,2
4178818,4147231,3,3
4178818,763030,4,4
4178818,36675120,3,3
4178818,4340961,4,4
4178818,4340494,4,4
4178818,4337316,3,3
4178818,4340493,4,5
4178818,36715932,3,3
4178818,4192249,4,4
4178818,4026158,5,5
4178818,4341763,4,4
4178818,4102255,4,4
4178818,4124691,3,3
4178818,195596,3,3
4178818,196628,4,4
4178818,4088042,4,4
4178818,35624505,4,4
4178818,4125494,3,3
4178818,36716715,4,4
4178818,4121819,4,4
4178818,44806251,4,4
4178818,4243504,3,3
4178818,4342866,4,4
4178818,4082334,4,4
4178818,45757494,4,4
4178818,4262937,3,3
4178818,4340496,4,4
4178818,4309439,3,3
4178818,40490446,3,3
4178818,36716513,3,3
4178818,4341764,4,4
4178818,4340963,4,4
4178818,40483827,3,3
4178818,4340960,4,4
4178818,46274136,4,4
4178818,36716714,4,4
4178818,3654680,4,4
4178818,199074,3,3
4178818,4026157,4,4
4178818,4341765,4,5
4178818,4319446,3,3
4178818,37110323,5,5
4178818,4340964,4,5
4178818,4303234,4,4
4178818,4341073,4,4
4179872,4125494,4,4
4179872,4211348,6,6
4179873,4102255,2,2
4179873,37110323,3,3
4179922,4211348,4,6
4180169,4192640,2,3
4180169,4340961,4,5
4180169,36715932,3,4
4180169,4340962,4,5
4180169,4340494,4,5
4180169,4241838,3,4
4180169,4340493,4,6
4180169,4026158,5,6
4180169,4192249,4,5
